model,accuracy,precision_yes,recall_yes,f1_yes
Logistic Regression,0.8043230944254836,0.6564885496183206,0.5524625267665952,0.6
Random Forest,0.7821387940841866,0.609375,0.5010706638115632,0.5499412455934195
Tuned Random Forest,0.7963594994311718,0.6526610644257703,0.4989293361884368,0.5655339805825242
